TABLE NO.  1
 ID          AMT         DV          PRED        RES         WRES
  6.0000E+00  0.0000E+00  1.1270E+00  4.1672E-01  7.1028E-01  1.9438E+00
  6.0000E+00  0.0000E+00  7.4800E-01  3.2939E-01  4.1861E-01  7.5035E-01
  6.0000E+00  6.0000E+00  0.0000E+00  1.3900E-01  0.0000E+00  0.0000E+00
  7.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.0000E+00  1.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.0000E+00  0.0000E+00  1.3360E+00  1.4066E+00 -7.0565E-02 -4.0128E-01
  7.0000E+00  0.0000E+00  3.7800E+00  2.4930E+00  1.2870E+00  5.1576E-01
  7.0000E+00  0.0000E+00  4.6640E+00  3.3103E+00  1.3537E+00  3.2834E-01
  7.0000E+00  0.0000E+00  4.1790E+00  4.6148E+00 -4.3583E-01 -5.8911E-01
  7.0000E+00  0.0000E+00  3.3140E+00  4.5834E+00 -1.2694E+00 -1.0086E+00
  7.0000E+00  0.0000E+00  3.9860E+00  3.5640E+00  4.2195E-01 -2.9771E-01
  7.0000E+00  0.0000E+00  1.9610E+00  2.6185E+00 -6.5753E-01 -1.0455E+00
  7.0000E+00  0.0000E+00  1.6510E+00  1.0349E+00  6.1605E-01  4.9061E-01
  7.0000E+00  0.0000E+00  1.4640E+00  9.4783E-01  5.1617E-01  3.9295E-01
  7.0000E+00  0.0000E+00  1.4140E+00  8.7648E-01  5.3752E-01  5.1224E-01
  7.0000E+00  0.0000E+00  1.2130E+00  7.4950E-01  4.6350E-01  5.0247E-01
  7.0000E+00  0.0000E+00  9.6600E-01  6.4092E-01  3.2508E-01  2.7131E-01
  7.0000E+00  0.0000E+00  7.0400E-01  5.0681E-01  1.9719E-01  3.3458E-02
  7.0000E+00  0.0000E+00  2.0600E-01  2.1264E-01 -6.6383E-03 -5.2915E-01
  7.0000E+00  1.1000E+01  0.0000E+00  2.1258E-01  0.0000E+00  0.0000E+00
  7.0000E+00  0.0000E+00  6.6200E-01  1.6189E+00 -9.5691E-01 -1.4060E+00
  7.0000E+00  0.0000E+00  2.4630E+00  2.8435E+00 -3.8048E-01 -6.2517E-01
  7.0000E+00  0.0000E+00  3.5820E+00  3.5222E+00  5.9774E-02 -3.6847E-01
  7.0000E+00  0.0000E+00  1.7385E+01  4.8260E+00  1.2559E+01  4.4236E+00
  7.0000E+00  0.0000E+00  3.4880E+00  4.7580E+00 -1.2700E+00 -9.9555E-01
  7.0000E+00  0.0000E+00  2.7160E+00  3.7725E+00 -1.0565E+00 -1.0639E+00
  7.0000E+00  0.0000E+00  1.1110E+01  2.8324E+00  8.2776E+00  4.9192E+00
  7.0000E+00  0.0000E+00  1.2250E+00  1.2315E+00 -6.5274E-03 -6.4366E-01
  7.0000E+00  0.0000E+00  1.5820E+00  1.1295E+00  4.5251E-01  1.3326E-01
  7.0000E+00  0.0000E+00  1.3570E+00  1.0436E+00  3.1344E-01 -7.3933E-02
